,player_id,player_name,Ground_truth,predict_label
106,201567,kevin love,"Center,PowerForward",PF
107,201568,danilo gallinai,"PowerForward,SmallForward,ShootingGuard",SF
108,201571,dj augustin,PointGuard,PG
109,201572,brook lopez,Center,C
110,201573,jerryd bayless,"ShootingGuard,PointGuard",PG
111,201574,jason thompson,"Center,PowerForward",C
112,201578,marreese speights,"Center,PowerForward",C
113,201579,roy hibbert,Center,C
114,201581,jj hickson,"PowerForward,Center",C
115,201582,alexis ajinca,"Center,PowerForward",C
116,201583,ryan anderson,PowerForward,SF
117,201584,courtney lee,ShootingGuard,PF
118,201585,kosta koufos,Center,C
119,201586,serge ibaka,"PowerForward,Center",PF
120,201587,nicolas batum,"ShootingGuard,SmallForward",SF
121,201589,darrell arthur,"SmallForward,PowerForward",PF
122,201595,joey dorsey,"PowerForward,Center",C
123,201596,mario chalmers,PointGuard,SG
124,201599,deandre jordan,Center,C
125,201600,omer asik,Center,C
126,201601,luc mbah a moute,"SmallForward,PowerForward",PF
127,201609,goran dragic,"PointGuard,ShootingGuard",SG
128,201627,anthony morrow,ShootingGuard,SF
129,201933,blake griffin,PowerForward,C
130,201935,james harden,"PointGuard,ShootingGuard",PG
131,201936,tyreke evans,"PointGuard,ShootingGuard,SmallForward",PG
132,201939,stephen curry,PointGuard,SG
133,201941,jordan hill,"PowerForward,Center",C
134,201943,brandon jennings,PointGuard,PG
135,201945,gerald henderson,PointGuard,PF
136,201946,tyler hansbrough,PowerForward,C
137,201949,james johnson,"PowerForward,SmallForward",C
138,201950,jrue holiday,"PointGuard,ShootingGuard",PG
139,201951,ty lawson,PointGuard,PG
140,201952,jeff teague,PointGuard,PG
141,201954,darren collison,PointGuard,PG
142,201956,omri casspi,"SmallForward,PowerForward",C
143,201959,taj gibson,PowerForward,C
144,201960,demarre carroll,"PowerForward,SmallForward",SF
145,201961,wayne ellington,ShootingGuard,SG
146,201967,dante cunningham,"PowerForward,SmallForward",C
147,201973,jonas jerebko,PowerForward,PF
148,201976,patrick beverley,"PointGuard,ShootingGuard",SG
149,201977,marcus thornton,ShootingGuard,PF
150,201978,chase budinger,SmallForward,PF
151,201980,danny green,ShootingGuard,SF
152,202066,garrett temple,"PointGuard,SmallForward,ShootingGuard",SF
153,202083,wesley matthews,"ShootingGuard,SmallForward",SF
154,202087,alonzo gee,"SmallForward,ShootingGuard",C
155,202322,john wall,PowerForward,PG
156,202323,evan turner,"ShootingGuard,SmallForward,PointGuard",PG
157,202324,derrick favors,"Center,PowerForward",C
158,202325,wesley johnson,"ShootingGuard,SmallForward",PF
159,202326,demarcus cousins,Center,C
160,202328,greg monroe,"Center,PowerForward",C
161,202329,al farouq aminu,"PowerForward,SmallForward",PF
162,202330,gordon hayward,SmallForward,SG
163,202332,cole aldrich,Center,C
164,202334,ed davis,"PowerForward,Center",C
165,202335,patrick patterson,PowerForward,SF
166,202337,luke babbitt,"PowerForward,SmallForward",SF
167,202338,kevin seraphin,"Center,PowerForward",C
168,202339,eric bledsoe,PointGuard,PG
169,202340,avery bradley,"ShootingGuard,PointGuard",PF
170,202344,trevor booker,PowerForward,C
171,202349,greivis vasquez,"PointGuard,ShootingGuard",SG
172,202362,lance stephenson,"SmallForward,ShootingGuard",SG
173,202366,jerome jordan,Center,C
174,202388,donald sloan,"PointGuard,ShootingGuard",PG
175,202389,timofey mozgov,Center,C
176,202390,gary neal,ShootingGuard,SG
177,202391,jeremy lin,"ShootingGuard,PointGuard",PG
178,202681,kyrie irving,PointGuard,PG
179,202682,derrick williams,"PowerForward,SmallForward",PF
180,202683,enes kanter,Center,C
181,202684,tristan thompson,"Center,PowerForward",C
182,202685,jonas valanciunas,Center,C
183,202687,bismack biyombo,Center,C
184,202688,brandon knight,"ShootingGuard,PointGuard",PG
185,202689,kemba walker,PointGuard,PG
186,202690,jimmer dredette,"PointGuard,ShootingGuard",SG
187,202691,klay thompson,ShootingGuard,PF
188,202693,markieff morris,PowerForward,PF
189,202694,marcus morris,"SmallForward,PowerForward",PF
190,202695,kawhi leonard,SmallForward,PF
191,202696,nikola vucevic,Center,C
192,202699,tobias harris,"PowerForward,SmallForward",PF
193,202700,donatas motiejunas,PowerForward,C
194,202702,kenneth faried,PowerForward,C
195,202703,nikola mirotic,PowerForward,SF
196,202704,reggie jackson,PointGuard,PG
197,202708,norris cole,PointGuard,SG
198,202709,cory joseph,"PointGuard,ShootingGuard",PG
199,202710,jimmy butler,"ShootingGuard,SmallForward",PF
200,202711,bojan bogdanovic,SmallForward,SF
201,202713,kyle singler,SmallForward,SF
202,202718,chandler parsons,SmallForward,PF
203,202720,jon leuer,"PowerForward,Center",C
204,202730,lavoy allen,"PowerForward,Center",C
205,202738,isaiah thomas,PointGuard,SG
206,202962,greg smith,"SmallForward,PowerForward,PointGuard",C
207,203076,anthony davis,"Center,PowerForward",C
208,203077,michael kidd-gilchrist,"PowerForward,SmallForward",C
209,203078,bradley beal,ShootingGuard,PF
210,203081,damian lillard,PointGuard,PG
211,203082,terrence ross,"SmallForward,ShootingGuard",SF
212,203083,andre drummond,Center,C
213,203084,harrison barnes,"PowerForward,SmallForward",PF
214,203087,jeremy lamb,"ShootingGuard,SmallForward",SG
215,203089,john henson,"PowerForward,Center",C
216,203092,tyler zeller,Center,C
217,203095,evan fournier,"ShootingGuard,SmallForward",SG
218,203096,jared sullinger,PowerForward,PF
219,203110,draymond green,"PowerForward,SmallForward",PF
220,203112,quincy acy,"PowerForward,SmallForward",C
221,203114,khris middleton,"ShootingGuard,SmallForward",PF
222,203118,mike scott,Center,PF
223,203123,kostas papanikolaou,SmallForward,SF
224,203124,kyle oquinn,"Center,PowerForward",PF
225,203133,robbie hummel,SmallForward,PF
226,203135,robert sacre,Center,C
227,203138,hollis thompson,"ShootingGuard,SmallForward",SF
228,203141,mirza teletovic,"SmallForward,PowerForward",SF
229,203142,chris copeland,"SmallForward,PowerForward",SF
230,203143,pablo prigioni,PointGuard,SF
231,203145,kent bazemore,"SmallForward,ShootingGuard",PF
232,203148,brian roberts,PointGuard,SG
233,203156,henry sims,Center,C
234,203382,aron baynes,Center,C
235,203457,nerles noel,"Center,PowerForward",C
236,203458,alex len,Center,C
237,203459,alan crabbe,ShootingGuard,SF
238,203460,andre roberson,"SmallForward,ShootingGuard",PF
239,203461,anthony bennett,PowerForward,C
240,203463,ben mclemore,ShootingGuard,SF
241,203468,cj mccollum,ShootingGuard,SG
242,203469,cody zeller,Center,C
243,203471,dennis schroder,PointGuard,PG
244,203476,gorgui dieng,"PowerForward,Center",C
245,203482,kelly olynyk,"Center,PowerForward",PF
246,203484,kentavious caldwell-pope,ShootingGuard,SF
247,203486,mason plumlee,Center,C
248,203487,michael carter-williams,PointGuard,PG
249,203490,otto porter,SmallForward,PF
250,203492,ray mccallum,PointGuard,PG
251,203496,robert covington,SmallForward,SF
252,203497,rudy gobert,Center,C
253,203498,shabazz muhammad,"ShootingGuard,SmallForward",C
254,203499,shane larkin,PointGuard,SG
255,203500,steve adams,Center,C
256,203501,time hardaway jr,ShootingGuard,SF
257,203503,tony snell,"ShootingGuard,SmallForward",SF
258,203504,trey burke,PointGuard,SG
259,203506,victor oladipo,"PointGuard,ShootingGuard",PG
260,203507,giannis antetokounmpo,"ShootingGuard,SmallForward,PowerForward,PointGuard",C
261,203516,james ennis,SmallForward,PF
262,203521,matthew dellavedova,"PointGuard,ShootingGuard",SG
263,203524,solomon hill,SmallForward,PF
264,203544,pero antic,Center,SF
265,203894,shabazz napier,PointGuard,SG
266,203897,zach lavine,"ShootingGuard,PointGuard",PG
267,203901,elfrid payton,PointGuard,PG
268,203909,kj mcdaniels,"ShootingGuard,SmallForward",PF
269,203917,nik stauskas,ShootingGuard,SF
270,203924,jerami grant,"PowerForward,SmallForward",PF
271,203925,joe harris,ShootingGuard,SF
272,203932,aaron gordon,"PowerForward,SmallForward",PF
273,203935,marcus smart,"ShootingGuard,PointGuard",SF
274,203952,andrew wiggins,SmallForward,C
275,203957,dante exum,PointGuard,SF
276,203960,jakarr sampson,SmallForward,PF
277,203994,jusuf nurkic,Center,C
278,204014,damjan rudez,SmallForward,SF
279,204037,travis wear,SmallForward,PF
280,204060,jon ingles,SmallForward,SF
